Name,District,Party,Hometown,SwearIn,Ref
Blaine Luetkemeyer,Missouri (MO) - 3rd,Republican,St. Elizabeth,"Jan. 07, 2023",/members/L000569
Andrew S. Clyde,Georgia (GA) - 9th,Republican,Athens,"Jan. 07, 2023",/members/C001116
Jimmy Gomez,California (CA) - 34th,Democrat,Los Angeles,"Jan. 07, 2023",/members/G000585
Gwen Moore,Wisconsin (WI) - 4th,Democrat,Milwaukee,"Jan. 07, 2023",/members/M001160
Dina Titus,Nevada (NV) - 1st,Democrat,Las Vegas,"Jan. 07, 2023",/members/T000468
Josh Harder,California (CA) - 9th,Democrat,Tracy,"Jan. 07, 2023",/members/H001090
Dusty Johnson,South Dakota (SD) - At Large,Republican,Mitchell,"Jan. 07, 2023",/members/J000301
Jimmy Panetta,California (CA) - 19th,Democrat,Carmel Valley,"Jan. 07, 2023",/members/P000613
Diana DeGette,Colorado (CO) - 1st,Democrat,Denver,"Jan. 07, 2023",/members/D000197
Shontel M. Brown,Ohio (OH) - 11th,Democrat,Warrensville Heights,"Jan. 07, 2023",/members/B001313
Deborah K. Ross,North Carolina (NC) - 2nd,Democrat,Raleigh,"Jan. 07, 2023",/members/R000305
Beth Van Duyne,Texas (TX) - 24th,Republican,Irving,"Jan. 07, 2023",/members/V000134
"Robert C. ""Bobby"" Scott",Virginia (VA) - 3rd,Democrat,Newport News,"Jan. 07, 2023",/members/S000185
Tom McClintock,California (CA) - 5th,Republican,Elk Grove,"Jan. 07, 2023",/members/M001177
"Randy K. Weber, Sr.",Texas (TX) - 14th,Republican,Friendswood,"Jan. 07, 2023",/members/W000814
Jason Smith,Missouri (MO) - 8th,Republican,Salem,"Jan. 07, 2023",/members/S001195
Val T. Hoyle,Oregon (OR) - 4th,Democrat,Springfield,"Jan. 07, 2023",/members/H001094
Wesley Hunt,Texas (TX) - 38th,Republican,Houston,"Jan. 07, 2023",/members/H001095
Linda T. Sánchez,California (CA) - 38th,Democrat,Whittier,"Jan. 07, 2023",/members/S001156
Lisa Blunt Rochester,Delaware (DE) - At Large,Democrat,Wilmington,"Jan. 07, 2023",/members/B001303
Ronny Jackson,Texas (TX) - 13th,Republican,Amarillo,"Jan. 07, 2023",/members/J000304
John R. Carter,Texas (TX) - 31st,Republican,Round Rock,"Jan. 07, 2023",/members/C001051
Rick Larsen,Washington (WA) - 2nd,Democrat,Everett,"Jan. 07, 2023",/members/L000560
A. Drew Ferguson IV,Georgia (GA) - 3rd,Republican,The Rock,"Jan. 07, 2023",/members/F000465
Tim Walberg,Michigan (MI) - 5th,Republican,Tipton,"Jan. 07, 2023",/members/W000798
William R. Keating,Massachusetts (MA) - 9th,Democrat,Bourne,"Jan. 07, 2023",/members/K000375
Suzan K. DelBene,Washington (WA) - 1st,Democrat,Medina,"Jan. 07, 2023",/members/D000617
Marie Gluesenkamp Perez,Washington (WA) - 3rd,Democrat,Skamania County,"Jan. 07, 2023",/members/G000600
Alexandria Ocasio-Cortez,New York (NY) - 14th,Democrat,East Elmhurst,"Jan. 07, 2023",/members/O000172
Joe Neguse,Colorado (CO) - 2nd,Democrat,Lafayette,"Jan. 07, 2023",/members/N000191
Robert E. Latta,Ohio (OH) - 5th,Republican,Bowling Green,"Jan. 07, 2023",/members/L000566
Dean Phillips,Minnesota (MN) - 3rd,Democrat,Plymouth,"Jan. 07, 2023",/members/P000616
Russell Fry,South Carolina (SC) - 7th,Republican,Murrells Inlet,"Jan. 07, 2023",/members/F000478
Zoe Lofgren,California (CA) - 18th,Democrat,San José,"Jan. 07, 2023",/members/L000397
Michelle Fischbach,Minnesota (MN) - 7th,Republican,Regal,"Jan. 07, 2023",/members/F000470
Mary E. Miller,Illinois (IL) - 15th,Republican,Oakland,"Jan. 07, 2023",/members/M001211
Guy Reschenthaler,Pennsylvania (PA) - 14th,Republican,Peters Township,"Jan. 07, 2023",/members/R000610
Robin L. Kelly,Illinois (IL) - 2nd,Democrat,Matteson,"Jan. 07, 2023",/members/K000385
Henry Cuellar,Texas (TX) - 28th,Democrat,Laredo,"Jan. 07, 2023",/members/C001063
Bruce Westerman,Arkansas (AR) - 4th,Republican,Hot Springs,"Jan. 07, 2023",/members/W000821
Cory Mills,Florida (FL) - 7th,Republican,New Smyrna Beach,"Jan. 07, 2023",/members/M001216
Ralph Norman,South Carolina (SC) - 5th,Republican,Rock Hill,"Jan. 07, 2023",/members/N000190
Kelly Armstrong,North Dakota (ND) - At Large,Republican,Bismarck,"Jan. 07, 2023",/members/A000377
Mike Flood,Nebraska (NE) - 1st,Republican,Norfolk,"Jan. 07, 2023",/members/F000474
Kevin Mullin,California (CA) - 15th,Democrat,South San Francisco,"Jan. 07, 2023",/members/M001225
Tony Cárdenas,California (CA) - 29th,Democrat,Pacoima,"Jan. 07, 2023",/members/C001097
John R. Curtis,Utah (UT) - 3rd,Republican,Provo,"Jan. 07, 2023",/members/C001114
Cathy McMorris Rodgers,Washington (WA) - 5th,Republican,Spokane,"Jan. 07, 2023",/members/M001159
Melanie A. Stansbury,New Mexico (NM) - 1st,Democrat,Albuquerque,"Jan. 07, 2023",/members/S001218
Scott Fitzgerald,Wisconsin (WI) - 5th,Republican,Clyman,"Jan. 07, 2023",/members/F000471
Lauren Underwood,Illinois (IL) - 14th,Democrat,Naperville,"Jan. 07, 2023",/members/U000040
Debbie Dingell,Michigan (MI) - 6th,Democrat,Ann Arbor,"Jan. 07, 2023",/members/D000624
Michael Waltz,Florida (FL) - 6th,Republican,St. Augustine Beach,"Jan. 07, 2023",/members/W000823
Sydney Kamlager-Dove,California (CA) - 37th,Democrat,Los Angeles,"Jan. 07, 2023",/members/K000400
Anthony D'Esposito,New York (NY) - 4th,Republican,Island Park,"Jan. 07, 2023",/members/D000632
Scott DesJarlais,Tennessee (TN) - 4th,Republican,Sherwood,"Jan. 07, 2023",/members/D000616
Ann M. Kuster,New Hampshire (NH) - 2nd,Democrat,Hopkinton,"Jan. 07, 2023",/members/K000382
Paul A. Gosar,Arizona (AZ) - 9th,Republican,Bullhead City,"Jan. 07, 2023",/members/G000565
Robert Garcia,California (CA) - 42nd,Democrat,Long Beach,"Jan. 07, 2023",/members/G000598
Nancy Pelosi,California (CA) - 11th,Democrat,San Francisco,"Jan. 07, 2023",/members/P000197
Brad R. Wenstrup,Ohio (OH) - 2nd,Republican,Hillsboro,"Jan. 07, 2023",/members/W000815
Jake Auchincloss,Massachusetts (MA) - 4th,Democrat,Newton,"Jan. 07, 2023",/members/A000148
Nydia M. Velázquez,New York (NY) - 7th,Democrat,Brooklyn,"Jan. 07, 2023",/members/V000081
Cliff Bentz,Oregon (OR) - 2nd,Republican,Ontario,"Jan. 07, 2023",/members/B000668
Tom Cole,Oklahoma (OK) - 4th,Republican,Moore,"Jan. 07, 2023",/members/C001053
Tim Burchett,Tennessee (TN) - 2nd,Republican,Knoxville,"Jan. 07, 2023",/members/B001309
"Sanford D. Bishop, Jr.",Georgia (GA) - 2nd,Democrat,Albany,"Jan. 07, 2023",/members/B000490
Haley M. Stevens,Michigan (MI) - 11th,Democrat,Birmingham,"Jan. 07, 2023",/members/S001215
Nathaniel Moran,Texas (TX) - 1st,Republican,Whitehouse,"Jan. 07, 2023",/members/M001224
Delia C. Ramirez,Illinois (IL) - 3rd,Democrat,Chicago,"Jan. 07, 2023",/members/R000617
Lori Chavez-DeRemer,Oregon (OR) - 5th,Republican,Happy Valley,"Jan. 07, 2023",/members/C001135
John H. Rutherford,Florida (FL) - 5th,Republican,Jacksonville,"Jan. 07, 2023",/members/R000609
"Thomas H. Kean, Jr.",New Jersey (NJ) - 7th,Republican,Westfield,"Jan. 07, 2023",/members/K000398
Brandon Williams,New York (NY) - 22nd,Republican,Syracuse,"Jan. 07, 2023",/members/W000828
C. A. Dutch Ruppersberger,Maryland (MD) - 2nd,Democrat,Cockeysville,"Jan. 07, 2023",/members/R000576
Morgan McGarvey,Kentucky (KY) - 3rd,Democrat,Louisville,"Jan. 07, 2023",/members/M001220
Thomas Massie,Kentucky (KY) - 4th,Republican,Garrison,"Jan. 07, 2023",/members/M001184
Max L. Miller,Ohio (OH) - 7th,Republican,Rocky River,"Jan. 07, 2023",/members/M001222
"Charles J. ""Chuck"" Fleischmann",Tennessee (TN) - 3rd,Republican,Chattanooga,"Jan. 07, 2023",/members/F000459
John P. Sarbanes,Maryland (MD) - 3rd,Democrat,Baltimore,"Jan. 07, 2023",/members/S001168
Brad Finstad,Minnesota (MN) - 1st,Republican,New Ulm,"Jan. 07, 2023",/members/F000475
Seth Magaziner,Rhode Island (RI) - 2nd,Democrat,Cranston,"Jan. 07, 2023",/members/M001223
Tracey Mann,Kansas (KS) - 1st,Republican,Salina,"Jan. 07, 2023",/members/M000871
David Rouzer,North Carolina (NC) - 7th,Republican,Wilmington,"Jan. 07, 2023",/members/R000603
Jill N. Tokuda,Hawaii (HI) - 2nd,Democrat,Kaneohe,"Jan. 07, 2023",/members/T000487
Garret Graves,Louisiana (LA) - 6th,Republican,Baton Rouge,"Jan. 07, 2023",/members/G000577
Mariannette Miller-Meeks,Iowa (IA) - 1st,Republican,Le Claire,"Jan. 07, 2023",/members/M001215
Joyce Beatty,Ohio (OH) - 3rd,Democrat,Columbus,"Jan. 07, 2023",/members/B001281
James P. McGovern,Massachusetts (MA) - 2nd,Democrat,Worcester,"Jan. 07, 2023",/members/M000312
Adam Smith,Washington (WA) - 9th,Democrat,Bellevue,"Jan. 07, 2023",/members/S000510
Debbie Wasserman Schultz,Florida (FL) - 25th,Democrat,Weston,"Jan. 07, 2023",/members/W000797
John Garamendi,California (CA) - 8th,Democrat,Walnut Grove,"Jan. 07, 2023",/members/G000559
Marcus J. Molinaro,New York (NY) - 19th,Republican,Red Hook,"Jan. 07, 2023",/members/M001221
Dan Crenshaw,Texas (TX) - 2nd,Republican,Humble,"Jan. 07, 2023",/members/C001120
Gabe Vasquez,New Mexico (NM) - 2nd,Democrat,Las Cruces,"Jan. 07, 2023",/members/V000136
Greg Casar,Texas (TX) - 35th,Democrat,Austin,"Jan. 07, 2023",/members/C001131
Raja Krishnamoorthi,Illinois (IL) - 8th,Democrat,Schaumburg,"Jan. 07, 2023",/members/K000391
Kweisi Mfume,Maryland (MD) - 7th,Democrat,Baltimore,"Jan. 07, 2023",/members/M000687
Greg Stanton,Arizona (AZ) - 4th,Democrat,Phoenix,"Jan. 07, 2023",/members/S001211
August Pfluger,Texas (TX) - 11th,Republican,San Angelo,"Jan. 07, 2023",/members/P000048
Jared Moskowitz,Florida (FL) - 23rd,Democrat,Parkland,"Jan. 07, 2023",/members/M001217
Rudy Yakym III,Indiana (IN) - 2nd,Republican,Granger,"Jan. 07, 2023",/members/Y000067
Adrian Smith,Nebraska (NE) - 3rd,Republican,Gering,"Jan. 07, 2023",/members/S001172
Alexander X. Mooney,West Virginia (WV) - 2nd,Republican,Charles Town,"Jan. 07, 2023",/members/M001195
Lauren Boebert,Colorado (CO) - 3rd,Republican,Silt,"Jan. 07, 2023",/members/B000825
Ruben Gallego,Arizona (AZ) - 3rd,Democrat,Phoenix,"Jan. 07, 2023",/members/G000574
Maxine Waters,California (CA) - 43rd,Democrat,Los Angeles,"Jan. 07, 2023",/members/W000187
Bennie G. Thompson,Mississippi (MS) - 2nd,Democrat,Bolton,"Jan. 07, 2023",/members/T000193
Jeff Duncan,South Carolina (SC) - 3rd,Republican,Laurens,"Jan. 07, 2023",/members/D000615
Ashley Hinson,Iowa (IA) - 2nd,Republican,Marion,"Jan. 07, 2023",/members/H001091
Ann Wagner,Missouri (MO) - 2nd,Republican,Ballwin,"Jan. 07, 2023",/members/W000812
Bill Johnson,Ohio (OH) - 6th,Republican,Marietta,"Jan. 07, 2023",/members/J000292
Jennifer Kiggans,Virginia (VA) - 2nd,Republican,Virginia Beach,"Jan. 07, 2023",/members/K000399
Kevin McCarthy,California (CA) - 20th,Republican,Bakersfield,"Jan. 07, 2023",/members/M001165
David Schweikert,Arizona (AZ) - 1st,Republican,Fountain Hills,"Jan. 07, 2023",/members/S001183
Daniel Meuser,Pennsylvania (PA) - 9th,Republican,Dallas,"Jan. 07, 2023",/members/M001204
Dan Bishop,North Carolina (NC) - 8th,Republican,Charlotte,"Jan. 07, 2023",/members/B001311
Lisa C. McClain,Michigan (MI) - 9th,Republican,Bruce,"Jan. 07, 2023",/members/M001136
Rick W. Allen,Georgia (GA) - 12th,Republican,Augusta,"Jan. 07, 2023",/members/A000372
James E. Clyburn,South Carolina (SC) - 6th,Democrat,Columbia,"Jan. 07, 2023",/members/C000537
Richard Hudson,North Carolina (NC) - 9th,Republican,Southern Pines,"Jan. 07, 2023",/members/H001067
Troy E. Nehls,Texas (TX) - 22nd,Republican,Richmond,"Jan. 07, 2023",/members/N000026
Robert B. Aderholt,Alabama (AL) - 4th,Republican,Haleyville,"Jan. 07, 2023",/members/A000055
Doris O. Matsui,California (CA) - 7th,Democrat,Sacramento,"Jan. 07, 2023",/members/M001163
Neal P. Dunn,Florida (FL) - 2nd,Republican,Panama City,"Jan. 07, 2023",/members/D000628
Grace Meng,New York (NY) - 6th,Democrat,Queens,"Jan. 07, 2023",/members/M001188
Andy Barr,Kentucky (KY) - 6th,Republican,Lexington,"Jan. 07, 2023",/members/B001282
Donald G. Davis,North Carolina (NC) - 1st,Democrat,Snow Hill,"Jan. 07, 2023",/members/D000230
Julia Brownley,California (CA) - 26th,Democrat,Westlake Village,"Jan. 07, 2023",/members/B001285
Pramila Jayapal,Washington (WA) - 7th,Democrat,Seattle,"Jan. 07, 2023",/members/J000298
Andy Biggs,Arizona (AZ) - 5th,Republican,Gilbert,"Jan. 07, 2023",/members/B001302
Juan Vargas,California (CA) - 52nd,Democrat,San Diego,"Jan. 07, 2023",/members/V000130
Rosa L. DeLauro,Connecticut (CT) - 3rd,Democrat,New Haven,"Jan. 07, 2023",/members/D000216
David P. Joyce,Ohio (OH) - 14th,Republican,South Russell Village,"Jan. 07, 2023",/members/J000295
Jeff Jackson,North Carolina (NC) - 14th,Democrat,Charlotte,"Jan. 07, 2023",/members/J000308
Russ Fulcher,Idaho (ID) - 1st,Republican,Meridian,"Jan. 07, 2023",/members/F000469
Zachary Nunn,Iowa (IA) - 3rd,Republican,Bondurant,"Jan. 07, 2023",/members/N000193
Andrea Salinas,Oregon (OR) - 6th,Democrat,Tigard,"Jan. 07, 2023",/members/S001226
David Kustoff,Tennessee (TN) - 8th,Republican,Germantown,"Jan. 07, 2023",/members/K000392
Sean Casten,Illinois (IL) - 6th,Democrat,Downers Grove,"Jan. 07, 2023",/members/C001117
Diana Harshbarger,Tennessee (TN) - 1st,Republican,Kingsport,"Jan. 07, 2023",/members/H001086
Scott H. Peters,California (CA) - 50th,Democrat,San Diego,"Jan. 07, 2023",/members/P000608
Jake Ellzey,Texas (TX) - 6th,Republican,Midlothian,"Jan. 07, 2023",/members/E000071
Elissa Slotkin,Michigan (MI) - 7th,Democrat,Lansing,"Jan. 07, 2023",/members/S001208
Ro Khanna,California (CA) - 17th,Democrat,Fremont,"Jan. 07, 2023",/members/K000389
Josh Brecheen,Oklahoma (OK) - 2nd,Republican,Coalgate,"Jan. 07, 2023",/members/B001317
Raúl M. Grijalva,Arizona (AZ) - 7th,Democrat,Tucson,"Jan. 07, 2023",/members/G000551
Doug Lamborn,Colorado (CO) - 5th,Republican,Colorado Springs,"Jan. 07, 2023",/members/L000564
Gary J. Palmer,Alabama (AL) - 6th,Republican,Hoover,"Jan. 07, 2023",/members/P000609
Michael R. Turner,Ohio (OH) - 10th,Republican,Dayton,"Jan. 07, 2023",/members/T000463
Nikema Williams,Georgia (GA) - 5th,Democrat,Atlanta,"Jan. 07, 2023",/members/W000788
Jerry L. Carl,Alabama (AL) - 1st,Republican,Mobile,"Jan. 07, 2023",/members/C001054
Bill Foster,Illinois (IL) - 11th,Democrat,Naperville,"Jan. 07, 2023",/members/F000454
Richard E. Neal,Massachusetts (MA) - 1st,Democrat,Springfield,"Jan. 07, 2023",/members/N000015
Lois Frankel,Florida (FL) - 22nd,Democrat,West Palm Beach,"Jan. 07, 2023",/members/F000462
David Scott,Georgia (GA) - 13th,Democrat,Atlanta,"Jan. 07, 2023",/members/S001157
Mark E. Green,Tennessee (TN) - 7th,Republican,Clarksville,"Jan. 07, 2023",/members/G000590
Ami Bera,California (CA) - 6th,Democrat,Elk Grove,"Jan. 07, 2023",/members/B001287
Ron Estes,Kansas (KS) - 4th,Republican,Wichita,"Jan. 07, 2023",/members/E000298
Steve Scalise,Louisiana (LA) - 1st,Republican,Jefferson,"Jan. 07, 2023",/members/S001176
John James,Michigan (MI) - 10th,Republican,Farmington Hills,"Jan. 07, 2023",/members/J000307
Shri Thanedar,Michigan (MI) - 13th,Democrat,Detroit,"Jan. 07, 2023",/members/T000488
Chellie Pingree,Maine (ME) - 1st,Democrat,North Haven,"Jan. 07, 2023",/members/P000597
Jamaal Bowman,New York (NY) - 16th,Democrat,Yonkers,"Jan. 07, 2023",/members/B001223
Chip Roy,Texas (TX) - 21st,Republican,Austin,"Jan. 07, 2023",/members/R000614
Chrissy Houlahan,Pennsylvania (PA) - 6th,Democrat,Devon,"Jan. 07, 2023",/members/H001085
