Name,District,Party,Hometown,SwearIn,Ref
"Bill Pascrell, Jr.",New Jersey (NJ) - 9th,Democrat,Paterson,"Jan. 07, 2023",/members/P000096
Jahana Hayes,Connecticut (CT) - 5th,Democrat,Wolcott,"Jan. 07, 2023",/members/H001081
Troy A. Carter,Louisiana (LA) - 2nd,Democrat,New Orleans,"Jan. 07, 2023",/members/C001125
Gus M. Bilirakis,Florida (FL) - 12th,Republican,Palm Harbor,"Jan. 07, 2023",/members/B001257
Laurel M. Lee,Florida (FL) - 15th,Republican,Tampa,"Jan. 07, 2023",/members/L000597
Mike Thompson,California (CA) - 4th,Democrat,St. Helena,"Jan. 07, 2023",/members/T000460
Anna Paulina Luna,Florida (FL) - 13th,Republican,St. Petersburg,"Jan. 07, 2023",/members/L000596
Eric Swalwell,California (CA) - 14th,Democrat,Livermore,"Jan. 07, 2023",/members/S001193
Nicholas A. Langworthy,New York (NY) - 23rd,Republican,Pendleton,"Jan. 07, 2023",/members/L000600
Brittany Pettersen,Colorado (CO) - 7th,Democrat,Lakewood,"Jan. 07, 2023",/members/P000620
William R. Timmons IV,South Carolina (SC) - 4th,Republican,Greenville,"Jan. 07, 2023",/members/T000480
Clay Higgins,Louisiana (LA) - 3rd,Republican,Lafayette,"Jan. 07, 2023",/members/H001077
Aaron Bean,Florida (FL) - 4th,Republican,Fernandina Beach,"Jan. 07, 2023",/members/B001314
Lloyd Doggett,Texas (TX) - 37th,Democrat,Austin,"Jan. 07, 2023",/members/D000399
Jefferson Van Drew,New Jersey (NJ) - 2nd,Republican,Dennis Township,"Jan. 07, 2023",/members/V000133
Sara Jacobs,California (CA) - 51st,Democrat,San Diego,"Jan. 07, 2023",/members/J000305
Greg Landsman,Ohio (OH) - 1st,Democrat,Cincinnati,"Jan. 07, 2023",/members/L000601
"Frank Pallone, Jr.",New Jersey (NJ) - 6th,Democrat,Long Branch,"Jan. 07, 2023",/members/P000034
Michael K. Simpson,Idaho (ID) - 2nd,Republican,Idaho Falls,"Jan. 07, 2023",/members/S001148
Carlos A. Gimenez,Florida (FL) - 28th,Republican,Miami,"Jan. 07, 2023",/members/G000593
Chris Stewart,Utah (UT) - 2nd,Republican,Farmington,"Jan. 07, 2023",/members/S001192
James A. Himes,Connecticut (CT) - 4th,Democrat,Cos Cob,"Jan. 07, 2023",/members/H001047
Kathy Castor,Florida (FL) - 14th,Democrat,Tampa,"Jan. 07, 2023",/members/C001066
Don Bacon,Nebraska (NE) - 2nd,Republican,Papillion,"Jan. 07, 2023",/members/B001298
Bill Huizenga,Michigan (MI) - 4th,Republican,Holland,"Jan. 07, 2023",/members/H001058
Kathy E. Manning,North Carolina (NC) - 6th,Democrat,Greensboro,"Jan. 07, 2023",/members/M001135
Sheila Cherfilus-McCormick,Florida (FL) - 20th,Democrat,Miramar,"Jan. 07, 2023",/members/C001127
Sheila Jackson Lee,Texas (TX) - 18th,Democrat,Houston,"Jan. 07, 2023",/members/J000032
Teresa Leger Fernandez,New Mexico (NM) - 3rd,Democrat,Santa Fe,"Jan. 07, 2023",/members/L000273
Terri A. Sewell,Alabama (AL) - 7th,Democrat,Birmingham,"Jan. 07, 2023",/members/S001185
Lori Trahan,Massachusetts (MA) - 3rd,Democrat,Westford,"Jan. 07, 2023",/members/T000482
Joseph D. Morelle,New York (NY) - 25th,Democrat,Irondequoit,"Jan. 07, 2023",/members/M001206
Daniel S. Goldman,New York (NY) - 10th,Democrat,New York,"Jan. 07, 2023",/members/G000599
Seth Moulton,Massachusetts (MA) - 6th,Democrat,Ann Arbor,"Jan. 07, 2023",/members/M001196
Abigail Davis Spanberger,Virginia (VA) - 7th,Democrat,Glen Allen,"Jan. 07, 2023",/members/S001209
James R. Baird,Indiana (IN) - 4th,Republican,Greencastle,"Jan. 07, 2023",/members/B001307
Kat Cammack,Florida (FL) - 3rd,Republican,Gainesville,"Jan. 07, 2023",/members/C001039
Lucy McBath,Georgia (GA) - 7th,Democrat,Marietta,"Jan. 07, 2023",/members/M001208
Blake D. Moore,Utah (UT) - 1st,Republican,Salt Lake City,"Jan. 07, 2023",/members/M001213
Austin Scott,Georgia (GA) - 8th,Republican,Tifton,"Jan. 07, 2023",/members/S001189
Nancy Mace,South Carolina (SC) - 1st,Republican,Charleston,"Jan. 07, 2023",/members/M000194
Ilhan Omar,Minnesota (MN) - 5th,Democrat,Minneapolis,"Jan. 07, 2023",/members/O000173
Emilia Strong Sykes,Ohio (OH) - 13th,Democrat,Akron,"Jan. 07, 2023",/members/S001223
Brian Babin,Texas (TX) - 36th,Republican,Woodville,"Jan. 07, 2023",/members/B001291
Michael Cloud,Texas (TX) - 27th,Republican,Victoria,"Jan. 07, 2023",/members/C001115
Patrick T. McHenry,North Carolina (NC) - 10th,Republican,Lake Norman,"Jan. 07, 2023",/members/M001156
Adam B. Schiff,California (CA) - 30th,Democrat,Burbank,"Jan. 07, 2023",/members/S001150
Jasmine Crockett,Texas (TX) - 30th,Democrat,Dallas,"Jan. 07, 2023",/members/C001130
Greg Pence,Indiana (IN) - 6th,Republican,Columbus,"Jan. 07, 2023",/members/P000615
"Donald M. Payne, Jr.",New Jersey (NJ) - 10th,Democrat,Newark,"Jan. 07, 2023",/members/P000604
George Santos,New York (NY) - 3rd,Republican,New York City,"Jan. 07, 2023",/members/S001222
Jennifer Wexton,Virginia (VA) - 10th,Democrat,Leesburg,"Jan. 07, 2023",/members/W000825
Brian Higgins,New York (NY) - 26th,Democrat,Buffalo,"Jan. 07, 2023",/members/H001038
Jack Bergman,Michigan (MI) - 1st,Republican,Watersmeet,"Jan. 07, 2023",/members/B001301
John R. Moolenaar,Michigan (MI) - 2nd,Republican,Caledonia,"Jan. 07, 2023",/members/M001194
Juan Ciscomani,Arizona (AZ) - 6th,Republican,Tucson,"Jan. 07, 2023",/members/C001133
Salud O. Carbajal,California (CA) - 24th,Democrat,Santa Barbara,"Jan. 07, 2023",/members/C001112
Andy Kim,New Jersey (NJ) - 3rd,Democrat,Moorestown,"Jan. 07, 2023",/members/K000394
