Member,Vote,Party,State,Profile
"Doyle, Michael F.",Yea,Democratic,PA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000482
Duncan,Nay,Republican,SC,/members/D000615
Dunn,Nay,Republican,FL,/members/D000628
Ellzey,Not Voting,Republican,TX,/members/E000071
Emmer,Not Voting,Republican,MN,/members/E000294
Escobar,Yea,Democratic,TX,/members/E000299
Eshoo,Yea,Democratic,CA,/members/E000215
Espaillat,Yea,Democratic,NY,/members/E000297
Estes,Not Voting,Republican,KS,/members/E000298
Evans,Yea,Democratic,PA,/members/E000296
Fallon,Not Voting,Republican,TX,/members/F000246
Feenstra,Nay,Republican,IA,/members/F000446
Ferguson,Nay,Republican,GA,/members/F000465
Fischbach,Nay,Republican,MN,/members/F000470
Fitzgerald,Not Voting,Republican,WI,/members/F000471
Fitzpatrick,Nay,Republican,PA,/members/F000466
Fleischmann,Nay,Republican,TN,/members/F000459
Fletcher,Yea,Democratic,TX,/members/F000468
Fortenberry,Nay,Republican,NE,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000449
Foster,Yea,Democratic,IL,/members/F000454
Foxx,Nay,Republican,NC,/members/F000450
"Frankel, Lois",Yea,Democratic,FL,/members/F000462
"Franklin, C. Scott",Nay,Republican,FL,/members/F000472
Fulcher,Not Voting,Republican,ID,/members/F000469
Gaetz,Not Voting,Republican,FL,/members/G000578
Gallagher,Nay,Republican,WI,/members/G000579
Gallego,Yea,Democratic,AZ,/members/G000574
Garamendi,Yea,Democratic,CA,/members/G000559
Garbarino,Nay,Republican,NY,/members/G000597
Garcia (CA),Not Voting,Republican,CA,/members/G000061
Garcia (IL),Yea,Democratic,IL,/members/G000586
Garcia (TX),Yea,Democratic,TX,/members/G000587
Gibbs,Not Voting,Republican,OH,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000563
Gimenez,Nay,Republican,FL,/members/G000593
Gohmert,Not Voting,Republican,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000552
Golden,Yea,Democratic,ME,/members/G000592
Gomez,Yea,Democratic,CA,/members/G000585
