Member,Vote,Party,State,ProfileAdams,Nay,Democratic,NC,/members/A000370
Aderholt,Yea,Republican,AL,/members/A000055
Aguilar,Nay,Democratic,CA,/members/A000371
Alford,Yea,Republican,MO,/members/A000379
Allen,Yea,Republican,GA,/members/A000372
Allred,Nay,Democratic,TX,/members/A000376
Amodei,Yea,Republican,NV,/members/A000369
Armstrong,Yea,Republican,ND,/members/A000377
Arrington,Yea,Republican,TX,/members/A000375
Auchincloss,Nay,Democratic,MA,/members/A000148
Babin,Yea,Republican,TX,/members/B001291
Bacon,Yea,Republican,NE,/members/B001298
Baird,Yea,Republican,IN,/members/B001307
Balderson,Yea,Republican,OH,/members/B001306
Balint,Nay,Democratic,VT,/members/B001318
Banks,Yea,Republican,IN,/members/B001299
Barr,Yea,Republican,KY,/members/B001282
Barragan,Nay,Democratic,CA,/members/B001300
Bean (FL),Yea,Republican,FL,/members/B001314
Beatty,Nay,Democratic,OH,/members/B001281
Bentz,Yea,Republican,OR,/members/B000668
Bera,Nay,Democratic,CA,/members/B001287
Bergman,Yea,Republican,MI,/members/B001301
Beyer,Nay,Democratic,VA,/members/B001292
Bice,Yea,Republican,OK,/members/B000740
Biggs,Yea,Republican,AZ,/members/B001302
Bilirakis,Yea,Republican,FL,/members/B001257
Bishop (GA),Nay,Democratic,GA,/members/B000490
Bishop (NC),Yea,Republican,NC,/members/B001311
Blumenauer,Nay,Democratic,OR,/members/B000574
Blunt Rochester,Nay,Democratic,DE,/members/B001303
Boebert,Yea,Republican,CO,/members/B000825
Bonamici,Nay,Democratic,OR,/members/B001278
Bost,Yea,Republican,IL,/members/B001295
Bowman,Nay,Democratic,NY,/members/B001223
Boyle (PA),Nay,Democratic,PA,/members/B001296
Brecheen,Not Voting,Republican,OK,/members/B001317
Brown,Nay,Democratic,OH,/members/B001313
Brownley,Nay,Democratic,CA,/members/B001285
Buchanan,Yea,Republican,FL,/members/B001260
Buck,Not Voting,Republican,CO,/members/B001297
Bucshon,Yea,Republican,IN,/members/B001275
Budzinski,Nay,Democratic,IL,/members/B001315
Burchett,Nay,Republican,TN,/members/B001309
Burgess,Yea,Republican,TX,/members/B001248
Burlison,Yea,Republican,MO,/members/B001316
Bush,Nay,Democratic,MO,/members/B001224
Calvert,Yea,Republican,CA,/members/C000059
Cammack,Yea,Republican,FL,/members/C001039
Caraveo,Nay,Democratic,CO,/members/C001134
Carbajal,Nay,Democratic,CA,/members/C001112
Cardenas,Nay,Democratic,CA,/members/C001097
Carey,Yea,Republican,OH,/members/C001126
Carl,Yea,Republican,AL,/members/C001054
Carson,Nay,Democratic,IN,/members/C001072
Carter (GA),Yea,Republican,GA,/members/C001103
Carter (LA),Nay,Democratic,LA,/members/C001125
Carter (TX),Yea,Republican,TX,/members/C001051
Cartwright,Nay,Democratic,PA,/members/C001090
Casar,Nay,Democratic,TX,/members/C001131
Case,Nay,Democratic,HI,/members/C001055
Casten,Nay,Democratic,IL,/members/C001117
Castor (FL),Nay,Democratic,FL,/members/C001066
Castro (TX),Nay,Democratic,TX,/members/C001091
Chavez-DeRemer,Yea,Republican,OR,/members/C001135
Cherfilus-McCormick,Nay,Democratic,FL,/members/C001127
Chu,Nay,Democratic,CA,/members/C001080
Cicilline,Nay,Democratic,RI,/members/C001084
Ciscomani,Yea,Republican,AZ,/members/C001133
Clark (MA),Nay,Democratic,MA,/members/C001101
Clarke (NY),Nay,Democratic,NY,/members/C001067
Cleaver,Nay,Democratic,MO,/members/C001061
Cline,Yea,Republican,VA,/members/C001118
Cloud,Yea,Republican,TX,/members/C001115
Clyburn,Nay,Democratic,SC,/members/C000537
Clyde,Yea,Republican,GA,/members/C001116
Cohen,Nay,Democratic,TN,/members/C001068
Cole,Yea,Republican,OK,/members/C001053
Collins,Yea,Republican,GA,/members/C001129
Comer,Yea,Republican,KY,/members/C001108
Connolly,Nay,Democratic,VA,/members/C001078
Correa,Nay,Democratic,CA,/members/C001110
Costa,Nay,Democratic,CA,/members/C001059
Courtney,Nay,Democratic,CT,/members/C001069
Craig,Nay,Democratic,MN,/members/C001119
Crane,Yea,Republican,AZ,/members/C001132
Crawford,Yea,Republican,AR,/members/C001087
Crenshaw,Yea,Republican,TX,/members/C001120
Crockett,Nay,Democratic,TX,/members/C001130
