Member,Vote,Party,State,ProfileAdams,Yea,Democratic,NC,/members/A000370
Aderholt,Nay,Republican,AL,/members/A000055
Aguilar,Yea,Democratic,CA,/members/A000371
Alford,Nay,Republican,MO,/members/A000379
Allen,Nay,Republican,GA,/members/A000372
Allred,Yea,Democratic,TX,/members/A000376
Amodei,Nay,Republican,NV,/members/A000369
Armstrong,Nay,Republican,ND,/members/A000377
Arrington,Nay,Republican,TX,/members/A000375
Auchincloss,Yea,Democratic,MA,/members/A000148
Babin,Nay,Republican,TX,/members/B001291
Bacon,Nay,Republican,NE,/members/B001298
Baird,Nay,Republican,IN,/members/B001307
Balderson,Nay,Republican,OH,/members/B001306
Balint,Yea,Democratic,VT,/members/B001318
Banks,Nay,Republican,IN,/members/B001299
Barr,Nay,Republican,KY,/members/B001282
Barragan,Yea,Democratic,CA,/members/B001300
Bean (FL),Nay,Republican,FL,/members/B001314
Beatty,Yea,Democratic,OH,/members/B001281
Bentz,Nay,Republican,OR,/members/B000668
Bera,Yea,Democratic,CA,/members/B001287
Bergman,Nay,Republican,MI,/members/B001301
Beyer,Yea,Democratic,VA,/members/B001292
Bice,Nay,Republican,OK,/members/B000740
Biggs,Nay,Republican,AZ,/members/B001302
Bilirakis,Nay,Republican,FL,/members/B001257
Bishop (GA),Yea,Democratic,GA,/members/B000490
Bishop (NC),Nay,Republican,NC,/members/B001311
Blumenauer,Yea,Democratic,OR,/members/B000574
Blunt Rochester,Yea,Democratic,DE,/members/B001303
Boebert,Nay,Republican,CO,/members/B000825
Bonamici,Yea,Democratic,OR,/members/B001278
Bost,Nay,Republican,IL,/members/B001295
Bowman,Yea,Democratic,NY,/members/B001223
Boyle (PA),Yea,Democratic,PA,/members/B001296
Brecheen,Nay,Republican,OK,/members/B001317
Brown,Yea,Democratic,OH,/members/B001313
Brownley,Yea,Democratic,CA,/members/B001285
Buchanan,Not Voting,Republican,FL,/members/B001260
Buck,Nay,Republican,CO,/members/B001297
Bucshon,Nay,Republican,IN,/members/B001275
Budzinski,Yea,Democratic,IL,/members/B001315
Burchett,Nay,Republican,TN,/members/B001309
Burgess,Nay,Republican,TX,/members/B001248
Burlison,Nay,Republican,MO,/members/B001316
Bush,Yea,Democratic,MO,/members/B001224
Calvert,Nay,Republican,CA,/members/C000059
Cammack,Nay,Republican,FL,/members/C001039
Caraveo,Yea,Democratic,CO,/members/C001134
Carbajal,Yea,Democratic,CA,/members/C001112
Cardenas,Yea,Democratic,CA,/members/C001097
Carey,Nay,Republican,OH,/members/C001126
Carl,Nay,Republican,AL,/members/C001054
Carson,Yea,Democratic,IN,/members/C001072
Carter (GA),Nay,Republican,GA,/members/C001103
Carter (LA),Yea,Democratic,LA,/members/C001125
Carter (TX),Nay,Republican,TX,/members/C001051
Cartwright,Yea,Democratic,PA,/members/C001090
Casar,Yea,Democratic,TX,/members/C001131
Case,Yea,Democratic,HI,/members/C001055
Casten,Yea,Democratic,IL,/members/C001117
Castor (FL),Yea,Democratic,FL,/members/C001066
Castro (TX),Yea,Democratic,TX,/members/C001091
Chavez-DeRemer,Nay,Republican,OR,/members/C001135
Cherfilus-McCormick,Yea,Democratic,FL,/members/C001127
Chu,Yea,Democratic,CA,/members/C001080
Cicilline,Yea,Democratic,RI,/members/C001084
Ciscomani,Nay,Republican,AZ,/members/C001133
Clark (MA),Yea,Democratic,MA,/members/C001101
Clarke (NY),Yea,Democratic,NY,/members/C001067
Cleaver,Yea,Democratic,MO,/members/C001061
Cline,Nay,Republican,VA,/members/C001118
Cloud,Nay,Republican,TX,/members/C001115
Clyburn,Yea,Democratic,SC,/members/C000537
Clyde,Nay,Republican,GA,/members/C001116
Cohen,Yea,Democratic,TN,/members/C001068
Cole,Nay,Republican,OK,/members/C001053
Collins,Nay,Republican,GA,/members/C001129
Comer,Nay,Republican,KY,/members/C001108
Connolly,Yea,Democratic,VA,/members/C001078
Correa,Yea,Democratic,CA,/members/C001110
Costa,Yea,Democratic,CA,/members/C001059
Courtney,Yea,Democratic,CT,/members/C001069
Craig,Yea,Democratic,MN,/members/C001119
Crane,Nay,Republican,AZ,/members/C001132
Crawford,Nay,Republican,AR,/members/C001087
Crenshaw,Nay,Republican,TX,/members/C001120
Crockett,Yea,Democratic,TX,/members/C001130
Crow,Yea,Democratic,CO,/members/C001121
Cuellar,Yea,Democratic,TX,/members/C001063
Curtis,Nay,Republican,UT,/members/C001114
D'Esposito,Nay,Republican,NY,/members/D000632
Davids (KS),Yea,Democratic,KS,/members/D000629
Davidson,Nay,Republican,OH,/members/D000626
Davis (IL),Yea,Democratic,IL,/members/D000096
Davis (NC),Yea,Democratic,NC,/members/D000230
De La Cruz,Nay,Republican,TX,/members/D000594
Dean (PA),Yea,Democratic,PA,/members/D000631
DeGette,Yea,Democratic,CO,/members/D000197
DeLauro,Yea,Democratic,CT,/members/D000216
DelBene,Yea,Democratic,WA,/members/D000617
Deluzio,Yea,Democratic,PA,/members/D000530
DeSaulnier,Yea,Democratic,CA,/members/D000623
DesJarlais,Nay,Republican,TN,/members/D000616
Diaz-Balart,Nay,Republican,FL,/members/D000600
Dingell,Yea,Democratic,MI,/members/D000624
Doggett,Yea,Democratic,TX,/members/D000399
Donalds,Nay,Republican,FL,/members/D000032
Duarte,Nay,Republican,CA,/members/D000633
Duncan,Nay,Republican,SC,/members/D000615
Dunn (FL),Nay,Republican,FL,/members/D000628
Edwards,Nay,Republican,NC,/members/E000246
Ellzey,Nay,Republican,TX,/members/E000071
Emmer,Nay,Republican,MN,/members/E000294
Escobar,Yea,Democratic,TX,/members/E000299
Eshoo,Yea,Democratic,CA,/members/E000215
Espaillat,Yea,Democratic,NY,/members/E000297
Estes,Nay,Republican,KS,/members/E000298
Evans,Yea,Democratic,PA,/members/E000296
Ezell,Nay,Republican,MS,/members/E000235
Fallon,Nay,Republican,TX,/members/F000246
Feenstra,Nay,Republican,IA,/members/F000446
Ferguson,Nay,Republican,GA,/members/F000465
Finstad,Nay,Republican,MN,/members/F000475
Fischbach,Nay,Republican,MN,/members/F000470
Fitzgerald,Nay,Republican,WI,/members/F000471
Fitzpatrick,Nay,Republican,PA,/members/F000466
Fleischmann,Nay,Republican,TN,/members/F000459
Fletcher,Yea,Democratic,TX,/members/F000468
Flood,Nay,Republican,NE,/members/F000474
Foster,Yea,Democratic,IL,/members/F000454
Foushee,Yea,Democratic,NC,/members/F000477
Foxx,Nay,Republican,NC,/members/F000450
Frankel, Lois,Yea,Democratic,FL,/members/F000462
Franklin, C. Scott,Nay,Republican,FL,/members/F000472
Frost,Yea,Democratic,FL,/members/F000476
