Member,Vote,Party,State,ProfileAdams,Yea,Democratic,NC,/members/A000370
Aderholt,Yea,Republican,AL,/members/A000055
Aguilar,Yea,Democratic,CA,/members/A000371
Alford,Yea,Republican,MO,/members/A000379
Allen,Yea,Republican,GA,/members/A000372
Allred,Yea,Democratic,TX,/members/A000376
Amodei,Yea,Republican,NV,/members/A000369
Armstrong,Yea,Republican,ND,/members/A000377
Arrington,Yea,Republican,TX,/members/A000375
Auchincloss,Yea,Democratic,MA,/members/A000148
Babin,Yea,Republican,TX,/members/B001291
Bacon,Yea,Republican,NE,/members/B001298
Baird,Yea,Republican,IN,/members/B001307
Balderson,Yea,Republican,OH,/members/B001306
Balint,Nay,Democratic,VT,/members/B001318
Banks,Yea,Republican,IN,/members/B001299
Barr,Yea,Republican,KY,/members/B001282
Barragan,Nay,Democratic,CA,/members/B001300
Bean (FL),Yea,Republican,FL,/members/B001314
Beatty,Yea,Democratic,OH,/members/B001281
Bentz,Yea,Republican,OR,/members/B000668
Bera,Yea,Democratic,CA,/members/B001287
Bergman,Yea,Republican,MI,/members/B001301
Beyer,Yea,Democratic,VA,/members/B001292
Bice,Yea,Republican,OK,/members/B000740
Biggs,Yea,Republican,AZ,/members/B001302
Bilirakis,Yea,Republican,FL,/members/B001257
Bishop (GA),Yea,Democratic,GA,/members/B000490
Bishop (NC),Yea,Republican,NC,/members/B001311
Blumenauer,Yea,Democratic,OR,/members/B000574
Blunt Rochester,Yea,Democratic,DE,/members/B001303
Boebert,Yea,Republican,CO,/members/B000825
Bonamici,Nay,Democratic,OR,/members/B001278
Bost,Yea,Republican,IL,/members/B001295
Bowman,Nay,Democratic,NY,/members/B001223
Boyle (PA),Yea,Democratic,PA,/members/B001296
Brecheen,Yea,Republican,OK,/members/B001317
Brown,Nay,Democratic,OH,/members/B001313
Brownley,Yea,Democratic,CA,/members/B001285
Buchanan,Yea,Republican,FL,/members/B001260
Buck,Yea,Republican,CO,/members/B001297
Bucshon,Yea,Republican,IN,/members/B001275
Budzinski,Yea,Democratic,IL,/members/B001315
Burchett,Yea,Republican,TN,/members/B001309
Burgess,Yea,Republican,TX,/members/B001248
Burlison,Yea,Republican,MO,/members/B001316
Bush,Nay,Democratic,MO,/members/B001224
Calvert,Yea,Republican,CA,/members/C000059
Cammack,Yea,Republican,FL,/members/C001039
Caraveo,Yea,Democratic,CO,/members/C001134
Carbajal,Yea,Democratic,CA,/members/C001112
Cardenas,Yea,Democratic,CA,/members/C001097
Carey,Yea,Republican,OH,/members/C001126
Carl,Yea,Republican,AL,/members/C001054
Carson,Yea,Democratic,IN,/members/C001072
Carter (GA),Yea,Republican,GA,/members/C001103
Carter (LA),Nay,Democratic,LA,/members/C001125
Carter (TX),Yea,Republican,TX,/members/C001051
Cartwright,Yea,Democratic,PA,/members/C001090
Casar,Nay,Democratic,TX,/members/C001131
Case,Yea,Democratic,HI,/members/C001055
Casten,Yea,Democratic,IL,/members/C001117
Castor (FL),Yea,Democratic,FL,/members/C001066
Castro (TX),Yea,Democratic,TX,/members/C001091
Chavez-DeRemer,Yea,Republican,OR,/members/C001135
Cherfilus-McCormick,Nay,Democratic,FL,/members/C001127
Chu,Nay,Democratic,CA,/members/C001080
Cicilline,Yea,Democratic,RI,/members/C001084
Ciscomani,Yea,Republican,AZ,/members/C001133
Clark (MA),Yea,Democratic,MA,/members/C001101
Clarke (NY),Nay,Democratic,NY,/members/C001067
Cleaver,Yea,Democratic,MO,/members/C001061
Cline,Yea,Republican,VA,/members/C001118
Cloud,Yea,Republican,TX,/members/C001115
Clyburn,Yea,Democratic,SC,/members/C000537
Clyde,Yea,Republican,GA,/members/C001116
Cohen,Yea,Democratic,TN,/members/C001068
Cole,Yea,Republican,OK,/members/C001053
Collins,Yea,Republican,GA,/members/C001129
Comer,Yea,Republican,KY,/members/C001108
Connolly,Nay,Democratic,VA,/members/C001078
Correa,Yea,Democratic,CA,/members/C001110
Costa,Yea,Democratic,CA,/members/C001059
Courtney,Yea,Democratic,CT,/members/C001069
Craig,Yea,Democratic,MN,/members/C001119
Crane,Yea,Republican,AZ,/members/C001132
Crawford,Yea,Republican,AR,/members/C001087
Crenshaw,Not Voting,Republican,TX,/members/C001120
Crockett,Nay,Democratic,TX,/members/C001130
Crow,Yea,Democratic,CO,/members/C001121
Cuellar,Yea,Democratic,TX,/members/C001063
Curtis,Yea,Republican,UT,/members/C001114
D'Esposito,Yea,Republican,NY,/members/D000632
Davids (KS),Yea,Democratic,KS,/members/D000629
Davidson,Yea,Republican,OH,/members/D000626
Davis (IL),Nay,Democratic,IL,/members/D000096
Davis (NC),Yea,Democratic,NC,/members/D000230
De La Cruz,Yea,Republican,TX,/members/D000594
Dean (PA),Yea,Democratic,PA,/members/D000631
DeGette,Nay,Democratic,CO,/members/D000197
DeLauro,Yea,Democratic,CT,/members/D000216
DelBene,Yea,Democratic,WA,/members/D000617
Deluzio,Yea,Democratic,PA,/members/D000530
DeSaulnier,Nay,Democratic,CA,/members/D000623
DesJarlais,Yea,Republican,TN,/members/D000616
Diaz-Balart,Yea,Republican,FL,/members/D000600
Dingell,Yea,Democratic,MI,/members/D000624
Doggett,Yea,Democratic,TX,/members/D000399
Donalds,Not Voting,Republican,FL,/members/D000032
Duarte,Yea,Republican,CA,/members/D000633
Duncan,Yea,Republican,SC,/members/D000615
Dunn (FL),Yea,Republican,FL,/members/D000628
Edwards,Yea,Republican,NC,/members/E000246
