Member,Vote,Party,State,Profile
Castro (TX),Nay,Democratic,TX,/members/C001091
Cawthorn,Yea,Republican,NC,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001104
Chabot,Yea,Republican,OH,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000266
Cheney,Yea,Republican,WY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001109
Chu,Nay,Democratic,CA,/members/C001080
Cicilline,Nay,Democratic,RI,/members/C001084
Clark (MA),Nay,Democratic,MA,/members/C001101
Clarke (NY),Nay,Democratic,NY,/members/C001067
Cleaver,Nay,Democratic,MO,/members/C001061
Cline,Yea,Republican,VA,/members/C001118
Cloud,Yea,Republican,TX,/members/C001115
Clyburn,Nay,Democratic,SC,/members/C000537
Clyde,Yea,Republican,GA,/members/C001116
Cohen,Nay,Democratic,TN,/members/C001068
Cole,Yea,Republican,OK,/members/C001053
Comer,Yea,Republican,KY,/members/C001108
Connolly,Nay,Democratic,VA,/members/C001078
Cooper,Nay,Democratic,TN,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000754
Correa,Nay,Democratic,CA,/members/C001110
Costa,Nay,Democratic,CA,/members/C001059
Courtney,Nay,Democratic,CT,/members/C001069
Craig,Nay,Democratic,MN,/members/C001119
Crawford,Yea,Republican,AR,/members/C001087
Crenshaw,Yea,Republican,TX,/members/C001120
Crist,Nay,Democratic,FL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001111
Crow,Nay,Democratic,CO,/members/C001121
Cuellar,Nay,Democratic,TX,/members/C001063
Curtis,Yea,Republican,UT,/members/C001114
Davids (KS),Nay,Democratic,KS,/members/D000629
Davidson,Yea,Republican,OH,/members/D000626
"Davis, Danny K.",Nay,Democratic,IL,/members/D000096
"Davis, Rodney",Yea,Republican,IL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000619
Dean,Nay,Democratic,PA,/members/D000631
DeFazio,Nay,Democratic,OR,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000191
DeGette,Nay,Democratic,CO,/members/D000197
DeLauro,Nay,Democratic,CT,/members/D000216
DelBene,Nay,Democratic,WA,/members/D000617
Delgado,Nay,Democratic,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000630
Demings,Nay,Democratic,FL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000627
DeSaulnier,Nay,Democratic,CA,/members/D000623
DesJarlais,Yea,Republican,TN,/members/D000616
Deutch,Nay,Democratic,FL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000610
Diaz-Balart,Yea,Republican,FL,/members/D000600
Dingell,Nay,Democratic,MI,/members/D000624
Doggett,Nay,Democratic,TX,/members/D000399
Donalds,Yea,Republican,FL,/members/D000032
"Doyle, Michael F.",Nay,Democratic,PA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000482
Duncan,Yea,Republican,SC,/members/D000615
Dunn,Yea,Republican,FL,/members/D000628
Emmer,Yea,Republican,MN,/members/E000294
Escobar,Nay,Democratic,TX,/members/E000299
Eshoo,Nay,Democratic,CA,/members/E000215
Espaillat,Nay,Democratic,NY,/members/E000297
Estes,Yea,Republican,KS,/members/E000298
Evans,Nay,Democratic,PA,/members/E000296
Fallon,Yea,Republican,TX,/members/F000246
Feenstra,Yea,Republican,IA,/members/F000446
Ferguson,Yea,Republican,GA,/members/F000465
Fischbach,Yea,Republican,MN,/members/F000470
Fitzgerald,Yea,Republican,WI,/members/F000471
Fitzpatrick,Yea,Republican,PA,/members/F000466
Fleischmann,Yea,Republican,TN,/members/F000459
Fletcher,Nay,Democratic,TX,/members/F000468
Fortenberry,Yea,Republican,NE,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000449
Foster,Nay,Democratic,IL,/members/F000454
Foxx,Yea,Republican,NC,/members/F000450
"Frankel, Lois",Nay,Democratic,FL,/members/F000462
"Franklin, C. Scott",Yea,Republican,FL,/members/F000472
Fulcher,Yea,Republican,ID,/members/F000469
Gaetz,Yea,Republican,FL,/members/G000578
Gallagher,Yea,Republican,WI,/members/G000579
Gallego,Nay,Democratic,AZ,/members/G000574
Garamendi,Nay,Democratic,CA,/members/G000559
Garbarino,Yea,Republican,NY,/members/G000597
Garcia (CA),Yea,Republican,CA,/members/G000061
Garcia (IL),Nay,Democratic,IL,/members/G000586
Garcia (TX),Nay,Democratic,TX,/members/G000587
Gibbs,Yea,Republican,OH,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000563
Gimenez,Yea,Republican,FL,/members/G000593
Gohmert,Yea,Republican,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000552
Golden,Not Voting,Democratic,ME,/members/G000592
Gomez,Nay,Democratic,CA,/members/G000585
"Gonzales, Tony",Yea,Republican,TX,/members/G000594
Gonzalez (OH),Yea,Republican,OH,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000588
"Gonzalez, Vicente",Nay,Democratic,TX,/members/G000581
Good (VA),Yea,Republican,VA,/members/G000595
Gooden (TX),Yea,Republican,TX,/members/G000589
Gosar,Yea,Republican,AZ,/members/G000565
Gottheimer,Nay,Democratic,NJ,/members/G000583
Granger,Yea,Republican,TX,/members/G000377
Graves (LA),Yea,Republican,LA,/members/G000577
Graves (MO),Yea,Republican,MO,/members/G000546
Green (TN),Yea,Republican,TN,/members/G000590
"Green, Al (TX)",Nay,Democratic,TX,/members/G000553
Greene (GA),Yea,Republican,GA,/members/G000596
Griffith,Yea,Republican,VA,/members/G000568
Grijalva,Nay,Democratic,AZ,/members/G000551
Grothman,Yea,Republican,WI,/members/G000576
Guest,Yea,Republican,MS,/members/G000591
Guthrie,Yea,Republican,KY,/members/G000558
Hagedorn,Yea,Republican,MN,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001088
Harder (CA),Nay,Democratic,CA,/members/H001090
Harris,Yea,Republican,MD,/members/H001052
Harshbarger,Yea,Republican,TN,/members/H001086
Hartzler,Yea,Republican,MO,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001053
Hayes,Nay,Democratic,CT,/members/H001081
Hern,Yea,Republican,OK,/members/H001082
Herrell,Yea,Republican,NM,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001084
Herrera Beutler,Yea,Republican,WA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001056
Hice (GA),Yea,Republican,GA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001071
Higgins (LA),Yea,Republican,LA,/members/H001077
Higgins (NY),Nay,Democratic,NY,/members/H001038
Hill,Yea,Republican,AR,/members/H001072
Himes,Nay,Democratic,CT,/members/H001047
Hinson,Yea,Republican,IA,/members/H001091
Hollingsworth,Yea,Republican,IN,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001074
Horsford,Nay,Democratic,NV,/members/H001066
Houlahan,Nay,Democratic,PA,/members/H001085
Hoyer,Nay,Democratic,MD,/members/H000874
Hudson,Yea,Republican,NC,/members/H001067
Huffman,Nay,Democratic,CA,/members/H001068
Huizenga,Yea,Republican,MI,/members/H001058
Issa,Yea,Republican,CA,/members/I000056
Jackson,Yea,Republican,TX,/members/J000304
Jackson Lee,Nay,Democratic,TX,/members/J000032
Jacobs (CA),Nay,Democratic,CA,/members/J000305
Jacobs (NY),Yea,Republican,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000020
Jayapal,Nay,Democratic,WA,/members/J000298
Jeffries,Nay,Democratic,NY,/members/J000294
Johnson (GA),Nay,Democratic,GA,/members/J000288
Johnson (LA),Yea,Republican,LA,/members/J000299
Johnson (OH),Yea,Republican,OH,/members/J000292
Johnson (SD),Yea,Republican,SD,/members/J000301
Johnson (TX),Nay,Democratic,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000126
Jones,Nay,Democratic,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000306
Jordan,Yea,Republican,OH,/members/J000289
Joyce (OH),Yea,Republican,OH,/members/J000295
Joyce (PA),Yea,Republican,PA,/members/J000302
Kahele,Nay,Democratic,HI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000396
Kaptur,Nay,Democratic,OH,/members/K000009
Katko,Yea,Republican,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000386
Keating,Nay,Democratic,MA,/members/K000375
Keller,Yea,Republican,PA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000395
Kelly (IL),Nay,Democratic,IL,/members/K000385
Kelly (MS),Yea,Republican,MS,/members/K000388
Kelly (PA),Yea,Republican,PA,/members/K000376
Khanna,Nay,Democratic,CA,/members/K000389
Kildee,Nay,Democratic,MI,/members/K000380
Kilmer,Nay,Democratic,WA,/members/K000381
Kim (CA),Yea,Republican,CA,/members/K000397
Kim (NJ),Nay,Democratic,NJ,/members/K000394
Kind,Nay,Democratic,WI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000188
Kinzinger,Yea,Republican,IL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000378
Kirkpatrick,Nay,Democratic,AZ,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000368
Krishnamoorthi,Nay,Democratic,IL,/members/K000391
Kuster,Nay,Democratic,NH,/members/K000382
Kustoff,Yea,Republican,TN,/members/K000392
LaHood,Yea,Republican,IL,/members/L000585
LaMalfa,Yea,Republican,CA,/members/L000578
Lamb,Nay,Democratic,PA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000588
Lamborn,Yea,Republican,CO,/members/L000564
Langevin,Nay,Democratic,RI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000559
Larsen (WA),Nay,Democratic,WA,/members/L000560
Larson (CT),Nay,Democratic,CT,/members/L000557
Latta,Yea,Republican,OH,/members/L000566
LaTurner,Yea,Republican,KS,/members/L000266
Lawrence,Nay,Democratic,MI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000581
Lawson (FL),Nay,Democratic,FL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000586
Lee (CA),Nay,Democratic,CA,/members/L000551
Lee (NV),Nay,Democratic,NV,/members/L000590
Leger Fernandez,Nay,Democratic,NM,/members/L000273
Lesko,Yea,Republican,AZ,/members/L000589
Letlow,Yea,Republican,LA,/members/L000595
Levin (CA),Nay,Democratic,CA,/members/L000593
Levin (MI),Nay,Democratic,MI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000592
Lieu,Nay,Democratic,CA,/members/L000582
Lofgren,Nay,Democratic,CA,/members/L000397
Long,Yea,Republican,MO,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000576
Loudermilk,Yea,Republican,GA,/members/L000583
Lowenthal,Nay,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000579
Lucas,Yea,Republican,OK,/members/L000491
Luetkemeyer,Yea,Republican,MO,/members/L000569
Luria,Nay,Democratic,VA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000591
Lynch,Nay,Democratic,MA,/members/L000562
Mace,Yea,Republican,SC,/members/M000194
Malinowski,Nay,Democratic,NJ,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001203
Malliotakis,Yea,Republican,NY,/members/M000317
"Maloney, Carolyn B.",Nay,Democratic,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000087
"Maloney, Sean",Nay,Democratic,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001185
Mann,Yea,Republican,KS,/members/M000871
Manning,Nay,Democratic,NC,/members/M001135
Massie,Nay,Republican,KY,/members/M001184
Mast,Yea,Republican,FL,/members/M001199
Matsui,Nay,Democratic,CA,/members/M001163
McBath,Nay,Democratic,GA,/members/M001208
McCarthy,Yea,Republican,CA,/members/M001165
McCaul,Yea,Republican,TX,/members/M001157
McClain,Yea,Republican,MI,/members/M001136
McClintock,Yea,Republican,CA,/members/M001177
McCollum,Nay,Democratic,MN,/members/M001143
McEachin,Nay,Democratic,VA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001200
McGovern,Nay,Democratic,MA,/members/M000312
McHenry,Yea,Republican,NC,/members/M001156
McKinley,Yea,Republican,WV,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001180
McNerney,Nay,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001166
Meeks,Nay,Democratic,NY,/members/M001137
Meijer,Yea,Republican,MI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001186
Meng,Nay,Democratic,NY,/members/M001188
Meuser,Yea,Republican,PA,/members/M001204
Mfume,Nay,Democratic,MD,/members/M000687
Miller (IL),Yea,Republican,IL,/members/M001211
Miller (WV),Yea,Republican,WV,/members/M001205
Miller-Meeks,Yea,Republican,IA,/members/M001215
Moolenaar,Yea,Republican,MI,/members/M001194
Mooney,Yea,Republican,WV,/members/M001195
Moore (AL),Yea,Republican,AL,/members/M001212
Moore (UT),Yea,Republican,UT,/members/M001213
Moore (WI),Nay,Democratic,WI,/members/M001160
Morelle,Nay,Democratic,NY,/members/M001206
Moulton,Nay,Democratic,MA,/members/M001196
Mrvan,Nay,Democratic,IN,/members/M001214
Mullin,Yea,Republican,OK,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001190
Murphy (FL),Nay,Democratic,FL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001202
Murphy (NC),Yea,Republican,NC,/members/M001210
Nadler,Nay,Democratic,NY,/members/N000002
Napolitano,Nay,Democratic,CA,/members/N000179
Neal,Nay,Democratic,MA,/members/N000015
Neguse,Nay,Democratic,CO,/members/N000191
Nehls,Yea,Republican,TX,/members/N000026
Newhouse,Yea,Republican,WA,/members/N000189
Newman,Nay,Democratic,IL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000192
Norcross,Nay,Democratic,NJ,/members/N000188
Norman,Yea,Republican,SC,/members/N000190
Nunes,Yea,Republican,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000181
O'Halleran,Nay,Democratic,AZ,http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000171
Obernolte,Yea,Republican,CA,/members/O000019
Ocasio-Cortez,Nay,Democratic,NY,/members/O000172
Omar,Nay,Democratic,MN,/members/O000173
Owens,Yea,Republican,UT,/members/O000086
Palazzo,Yea,Republican,MS,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000601
Pallone,Nay,Democratic,NJ,/members/P000034
Palmer,Yea,Republican,AL,/members/P000609
Panetta,Nay,Democratic,CA,/members/P000613
Pappas,Nay,Democratic,NH,/members/P000614
Pascrell,Nay,Democratic,NJ,/members/P000096
Payne,Nay,Democratic,NJ,/members/P000604
Pence,Yea,Republican,IN,/members/P000615
Perlmutter,Nay,Democratic,CO,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000593
Perry,Yea,Republican,PA,/members/P000605
Peters,Nay,Democratic,CA,/members/P000608
Pfluger,Yea,Republican,TX,/members/P000048
Phillips,Nay,Democratic,MN,/members/P000616
Pingree,Nay,Democratic,ME,/members/P000597
Pocan,Nay,Democratic,WI,/members/P000607
Porter,Nay,Democratic,CA,/members/P000618
Posey,Yea,Republican,FL,/members/P000599
Pressley,Nay,Democratic,MA,/members/P000617
Price (NC),Nay,Democratic,NC,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000523
Quigley,Nay,Democratic,IL,/members/Q000023
Raskin,Nay,Democratic,MD,/members/R000606
Reed,Yea,Republican,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000585
Reschenthaler,Yea,Republican,PA,/members/R000610
Rice (NY),Nay,Democratic,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000602
Rice (SC),Yea,Republican,SC,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000597
Rodgers (WA),Yea,Republican,WA,/members/M001159
Rogers (AL),Yea,Republican,AL,/members/R000575
Rogers (KY),Yea,Republican,KY,/members/R000395
Rose,Yea,Republican,TN,/members/R000612
Rosendale,Yea,Republican,MT,/members/R000103
Ross,Nay,Democratic,NC,/members/R000305
Rouzer,Yea,Republican,NC,/members/R000603
Roy,Yea,Republican,TX,/members/R000614
Roybal-Allard,Nay,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000486
Ruiz,Nay,Democratic,CA,/members/R000599
Ruppersberger,Nay,Democratic,MD,/members/R000576
Rush,Nay,Democratic,IL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000515
Rutherford,Yea,Republican,FL,/members/R000609
Ryan,Nay,Democratic,OH,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000577
Salazar,Yea,Republican,FL,/members/S000168
Sanchez,Nay,Democratic,CA,/members/S001156
Sarbanes,Nay,Democratic,MD,/members/S001168
Scalise,Yea,Republican,LA,/members/S001176
Scanlon,Nay,Democratic,PA,/members/S001205
Schakowsky,Nay,Democratic,IL,/members/S001145
Schiff,Nay,Democratic,CA,/members/S001150
Schneider,Nay,Democratic,IL,/members/S001190
Schrader,Nay,Democratic,OR,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001180
Schrier,Nay,Democratic,WA,/members/S001216
Schweikert,Yea,Republican,AZ,/members/S001183
Scott (VA),Nay,Democratic,VA,/members/S000185
"Scott, Austin",Yea,Republican,GA,/members/S001189
"Scott, David",Nay,Democratic,GA,/members/S001157
Sessions,Yea,Republican,TX,/members/S000250
Sewell,Nay,Democratic,AL,/members/S001185
Sherman,Nay,Democratic,CA,/members/S000344
Sherrill,Nay,Democratic,NJ,/members/S001207
Simpson,Yea,Republican,ID,/members/S001148
Sires,Nay,Democratic,NJ,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001165
Slotkin,Nay,Democratic,MI,/members/S001208
Smith (MO),Yea,Republican,MO,/members/S001195
Smith (NE),Yea,Republican,NE,/members/S001172
Smith (NJ),Yea,Republican,NJ,/members/S000522
Smith (WA),Nay,Democratic,WA,/members/S000510
Smucker,Yea,Republican,PA,/members/S001199
Soto,Nay,Democratic,FL,/members/S001200
Spanberger,Nay,Democratic,VA,/members/S001209
Spartz,Yea,Republican,IN,/members/S000929
Speier,Nay,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001175
Stanton,Nay,Democratic,AZ,/members/S001211
Stauber,Yea,Republican,MN,/members/S001212
Steel,Yea,Republican,CA,/members/S001135
Stefanik,Yea,Republican,NY,/members/S001196
Steil,Yea,Republican,WI,/members/S001213
Steube,Yea,Republican,FL,/members/S001214
Stevens,Nay,Democratic,MI,/members/S001215
Stewart,Yea,Republican,UT,/members/S001192
Strickland,Nay,Democratic,WA,/members/S001159
Suozzi,Nay,Democratic,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001201
Swalwell,Nay,Democratic,CA,/members/S001193
Takano,Nay,Democratic,CA,/members/T000472
Taylor,Yea,Republican,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000479
Tenney,Yea,Republican,NY,/members/T000478
Thompson (CA),Nay,Democratic,CA,/members/T000460
Thompson (MS),Nay,Democratic,MS,/members/T000193
Thompson (PA),Yea,Republican,PA,/members/T000467
Tiffany,Yea,Republican,WI,/members/T000165
Timmons,Yea,Republican,SC,/members/T000480
Titus,Nay,Democratic,NV,/members/T000468
Tlaib,Nay,Democratic,MI,/members/T000481
Tonko,Nay,Democratic,NY,/members/T000469
Torres (CA),Nay,Democratic,CA,/members/T000474
Torres (NY),Nay,Democratic,NY,/members/T000486
Trahan,Nay,Democratic,MA,/members/T000482
Trone,Nay,Democratic,MD,/members/T000483
Turner,Yea,Republican,OH,/members/T000463
Underwood,Nay,Democratic,IL,/members/U000040
Upton,Yea,Republican,MI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=U000031
Valadao,Yea,Republican,CA,/members/V000129
Van Drew,Yea,Republican,NJ,/members/V000133
Van Duyne,Yea,Republican,TX,/members/V000134
Vargas,Nay,Democratic,CA,/members/V000130
Veasey,Nay,Democratic,TX,/members/V000131
Vela,Nay,Democratic,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000132
Velazquez,Nay,Democratic,NY,/members/V000081
Wagner,Yea,Republican,MO,/members/W000812
Walberg,Yea,Republican,MI,/members/W000798
Walorski,Yea,Republican,IN,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000813
Waltz,Yea,Republican,FL,/members/W000823
Wasserman Schultz,Nay,Democratic,FL,/members/W000797
Waters,Nay,Democratic,CA,/members/W000187
Watson Coleman,Nay,Democratic,NJ,/members/W000822
Weber (TX),Yea,Republican,TX,/members/W000814
Webster (FL),Not Voting,Republican,FL,/members/W000806
Welch,Nay,Democratic,VT,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000800
Wenstrup,Yea,Republican,OH,/members/W000815
Westerman,Yea,Republican,AR,/members/W000821
Wexton,Nay,Democratic,VA,/members/W000825
Wild,Nay,Democratic,PA,/members/W000826
Williams (GA),Nay,Democratic,GA,/members/W000788
Williams (TX),Yea,Republican,TX,/members/W000816
Wilson (FL),Nay,Democratic,FL,/members/W000808
Wilson (SC),Yea,Republican,SC,/members/W000795
Wittman,Yea,Republican,VA,/members/W000804
Womack,Yea,Republican,AR,/members/W000809
Yarmuth,Nay,Democratic,KY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=Y000062
Young,Yea,Republican,AK,http://bioguide.congress.gov/scripts/biodisplay.pl?index=Y000033
Zeldin,Yea,Republican,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=Z000017
