Member,Vote,Party,State,Profile
Adams,Nay,Democratic,NC,/members/A000370
Aderholt,Yea,Republican,AL,/members/A000055
Aguilar,Nay,Democratic,CA,/members/A000371
Allen,Yea,Republican,GA,/members/A000372
Allred,Nay,Democratic,TX,/members/A000376
Amodei,Yea,Republican,NV,/members/A000369
Armstrong,Yea,Republican,ND,/members/A000377
Arrington,Yea,Republican,TX,/members/A000375
Auchincloss,Nay,Democratic,MA,/members/A000148
Axne,Nay,Democratic,IA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000378
Babin,Yea,Republican,TX,/members/B001291
Bacon,Yea,Republican,NE,/members/B001298
Baird,Yea,Republican,IN,/members/B001307
Balderson,Yea,Republican,OH,/members/B001306
Banks,Yea,Republican,IN,/members/B001299
Barr,Yea,Republican,KY,/members/B001282
Barragan,Nay,Democratic,CA,/members/B001300
Bass,Nay,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001270
Beatty,Nay,Democratic,OH,/members/B001281
Bentz,Yea,Republican,OR,/members/B000668
Bera,Nay,Democratic,CA,/members/B001287
Bergman,Yea,Republican,MI,/members/B001301
Beyer,Nay,Democratic,VA,/members/B001292
Bice (OK),Yea,Republican,OK,/members/B000740
Biggs,Yea,Republican,AZ,/members/B001302
Bilirakis,Yea,Republican,FL,/members/B001257
Bishop (GA),Nay,Democratic,GA,/members/B000490
Bishop (NC),Yea,Republican,NC,/members/B001311
Blumenauer,Nay,Democratic,OR,/members/B000574
Blunt Rochester,Nay,Democratic,DE,/members/B001303
Boebert,Yea,Republican,CO,/members/B000825
Bonamici,Nay,Democratic,OR,/members/B001278
Bost,Yea,Republican,IL,/members/B001295
Bourdeaux,Nay,Democratic,GA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001312
Bowman,Nay,Democratic,NY,/members/B001223
"Boyle, Brendan F.",Nay,Democratic,PA,/members/B001296
Brady,Yea,Republican,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000755
Brooks,Yea,Republican,AL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001274
Brown,Nay,Democratic,MD,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001304
Brownley,Nay,Democratic,CA,/members/B001285
Buchanan,Yea,Republican,FL,/members/B001260
Buck,Yea,Republican,CO,/members/B001297
Bucshon,Yea,Republican,IN,/members/B001275
Budd,Yea,Republican,NC,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001305
Burchett,Yea,Republican,TN,/members/B001309
Burgess,Yea,Republican,TX,/members/B001248
Bush,Nay,Democratic,MO,/members/B001224
Bustos,Nay,Democratic,IL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001286
Butterfield,Nay,Democratic,NC,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001251
Calvert,Yea,Republican,CA,/members/C000059
Cammack,Yea,Republican,FL,/members/C001039
Carbajal,Nay,Democratic,CA,/members/C001112
Cardenas,Nay,Democratic,CA,/members/C001097
Carl,Yea,Republican,AL,/members/C001054
Carson,Nay,Democratic,IN,/members/C001072
Carter (GA),Yea,Republican,GA,/members/C001103
Carter (LA),Nay,Democratic,LA,/members/C001125
Carter (TX),Yea,Republican,TX,/members/C001051
Cartwright,Nay,Democratic,PA,/members/C001090
Case,Nay,Democratic,HI,/members/C001055
Casten,Nay,Democratic,IL,/members/C001117
Castor (FL),Nay,Democratic,FL,/members/C001066
