Roll,Issue,Question,Description,Time,Results549,Bill Number: H. R. 2617, On Motion to Concur in the Senate Adt to the House Adt to the Senate Adt,To amend section 1115 of title 31, United States Code, to amend the description of how performance goals are achieved, and for other purposes,Dec 23, 2022, 02:00 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-549.csv
521,Bill Number: H. Res. 1518, On Agreeing to the Resolution,Providing for consideration of the bills H.R. 1948, S. 3905, and S. 4003; providing for consideration of the Senate amendment to the bill H.R. 1437; relating to consideration of the Senate amendments to the bill H.R. 2617; and for other purposes; and for other purposes,Dec 14, 2022, 02:04 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-521.csv
520,Bill Number: H. Res. 1518, On Ordering the Previous Question,Providing for consideration of the bills H.R. 1948, S. 3905, and S. 4003; providing for consideration of the Senate amendment to the bill H.R. 1437; relating to consideration of the Senate amendments to the bill H.R. 2617; and for other purposes; and for other purposes,Dec 14, 2022, 01:47 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-520.csv
519,Bill Number: H. R. 7535, On Motion to Suspend the Rules and Concur in the Senate Amendment,Quantum Computing Cybersecurity Preparedness Act,Dec 13, 2022, 01:55 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-519.csv
518,Bill Number: S. 1466, On Motion to Suspend the Rules and Pass, as Amended,Saline Lake Ecosystems in the Great Basin States Program Act,Dec 12, 2022, 06:58 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-518.csv
517,Bill Number: S. 1617, On Motion to Suspend the Rules and Pass,Disaster Assistance for Rural Communities Act,Dec 08, 2022, 01:54 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-517.csv
516,Bill Number: H. Res. 1512, On Motion to Suspend the Rules and Agree,Providing for the concurrence by the House in the Senate amendment to H.R. 7776, with an amendment,Dec 08, 2022, 01:39 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-516.csv
515,ADJOURN, On Motion to Adjourn,,Dec 08, 2022, 11:59 AM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-515.csv
514,Bill Number: H. R. 8404, Table Motion to Reconsider,Respect for Marriage Act,Dec 08, 2022, 11:39 AM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-514.csv
513,Bill Number: H. R. 8404, On Motion to Concur in the Senate Amendment,Respect for Marriage Act,Dec 08, 2022, 11:11 AM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-513.csv
512,Bill Number: H. Res. 1510, On Agreeing to the Resolution,Providing for consideration of the Senate amendment to the bill (H.R. 8404) to repeal the Defense of Marriage Act and ensure respect for State regulation of marriage, and for other purposes,Dec 07, 2022, 08:01 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-512.csv
511,Bill Number: H. R. 5796, On the Motion to Suspend the Rules and Concur in the Senate Amendment,Patents for Humanity Act,Dec 06, 2022, 04:27 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-511.csv
510,Bill Number: S. 4834, On Motion to Suspend the Rules and Pass,PROTECT Our Children Act,Dec 06, 2022, 04:16 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-510.csv
509,Bill Number: S. 2796, On Motion to Suspend the Rules and Pass,Rural Opioid Abuse Prevention Act,Dec 06, 2022, 04:07 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-509.csv
508,Bill Number: S. 3499, On Motion to Suspend the Rules and Pass,To amend the Post-Katrina Emergency Management Reform Act of 2006 to repeal certain obsolete requirements, and for other purposes,Dec 06, 2022, 03:59 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-508.csv
507,Bill Number: S. 3875, On Motion to Suspend the Rules and Pass,Community Disaster Resilience Zones Act,Dec 06, 2022, 03:50 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-507.csv
506,Bill Number: H. R. 3462, On the Motion to Suspend the Rules and Concur in the Senate Amendment,SBA Cyber Awareness Act,Dec 06, 2022, 03:39 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-506.csv
505,Bill Number: S. 4052, On Motion to Suspend the Rules and Pass,Early Hearing Detection and Intervention Act,Dec 06, 2022, 03:30 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-505.csv
504,MOTION, On Motion to Suspend the Rules and Pass Certain Bills,,Dec 06, 2022, 03:19 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-504.csv
503,Bill Number: H. R. 7946, On Passage,Veteran Service Recognition Act,Dec 06, 2022, 03:08 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-503.csv
502,Bill Number: H. R. 7946, On Agreeing to the Amendment,Amendment Author: Vicente Gonzalez of Texas Part C Amendment No. 1,Dec 06, 2022, 02:52 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-502.csv
501,Bill Number: H. Res. 1508, On Agreeing to the Resolution,Providing for consideration of the bill (H.R. 3648) the Eagle Act; providing for consideration of the bill (H.R. 7946) the Veteran Service Recognition Act; and for other purposes; and for other purposes,Dec 06, 2022, 10:37 AM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-501.csv
500,Bill Number: H. R. 8876, On Passage,Jackie Walorski Maternal and Child Home Visiting Reauthorization Act of 2022,Dec 02, 2022, 10:43 AM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-500.csv
499,Bill Number: S. 3115, On Motion to Suspend the Rules and Pass,To remove the 4-year sunset from the Pro bono Work to Empower and Represent Act of 2018,Dec 01, 2022, 04:48 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-499.csv
498,Bill Number: S. 231, On Motion to Suspend the Rules and Pass,Protecting Firefighters from Adverse Substances Act,Dec 01, 2022, 04:34 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-498.csv
497,Bill Number: H. R. 2521, On Motion to Suspend the Rules and Pass, as Amended,DOULA for VA Act of 2022,Dec 01, 2022, 04:23 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-497.csv
496,MOTION, On Motion to Suspend the Rules and Pass Certain Bills,,Dec 01, 2022, 04:10 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-496.csv
495,MOTION, On Motion to Suspend the Rules and Pass Certain Bills and Agree to Certain Resolutions,,Dec 01, 2022, 03:55 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-495.csv
494,Bill Number: H. R. 4785, On Motion to Suspend the Rules and Pass, as Amended,Uyghur Policy Act,Dec 01, 2022, 03:41 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-494.csv
493,Bill Number: H. R. 6878, On Passage,Pregnant Women in Custody Act,Dec 01, 2022, 03:29 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-493.csv
492,Bill Number: H. R. 3372, On Passage,One Stop Shop Community Reentry Program Act of 2021,Dec 01, 2022, 03:15 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-492.csv
491,Bill Number: H. Con. Res. 119, On Agreeing to the Resolution,Providing for a correction in the enrollment of H.J. Res. 100,Nov 30, 2022, 01:20 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-491.csv
490,Bill Number: H. J. Res. 100, On Passage,To provide for a resolution with respect to the unresolved disputes between certain railroads represented by the National Carriers’ Conference Committee of the National Railway Labor Conference and certain of their employees,Nov 30, 2022, 01:02 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-490.csv
489,Bill Number: H. Res. 1499, On Agreeing to the Resolution,Providing for consideration of the bill (H.R. 3372); providing for consideration of the bill (H.R. 6878); providing for consideration of the bill (H.R. 8876); providing for consideration of the joint resolution (H.J. Res. 100); and for other purposes,Nov 30, 2022, 10:22 AM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-489.csv
488,Bill Number: H. R. 5455, On Motion to Suspend the Rules and Pass, as Amended,Terry Technical Correction Act,Nov 29, 2022, 07:45 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-488.csv
487,Bill Number: S. 3846, On Motion to Suspend the Rules and Pass, as Amended,Justice and Mental Health Collaboration Reauthorization Act of 2022,Nov 29, 2022, 07:33 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-487.csv
486,Bill Number: S. 4003, On Motion to Suspend the Rules and Pass,Law Enforcement De-Escalation Training Act of 2022,Nov 29, 2022, 07:12 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-486.csv
485,Bill Number: H. R. 3630, On Motion to Suspend the Rules and Pass, as Amended,Lymphedema Treatment Act,Nov 17, 2022, 02:55 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-485.csv
484,Bill Number: H. R. 2250, On Motion to Suspend the Rules and Pass, as Amended,Department of Veterans Affairs Information Technology Reform Act,Nov 17, 2022, 02:43 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-484.csv
483,Bill Number: S. 4359, On Motion to Suspend the Rules and Pass,Senator Johnny Isakson VA Regional Office Act,Nov 17, 2022, 02:34 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-483.csv
482,Bill Number: S. 3369, On Motion to Suspend the Rules and Pass,To designate the medical center of the Department of Veterans Affairs in metropolitan Atlanta, Georgia, as the “Joseph Maxwell Cleland Atlanta Department of Veterans Affairs Medical Center”,Nov 17, 2022, 02:23 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-482.csv
481,MOTION, On Motion to Suspend the Rules and Pass Certain Bills,,Nov 17, 2022, 02:06 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-481.csv
480,Bill Number: S. 4524, On Passage,Speak Out Act,Nov 16, 2022, 01:49 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-480.csv
479,Bill Number: H. Res. 1464, On Agreeing to the Resolution,Providing for consideration of the bill S. 4524, the Speak Out Act, and for other purposes,Nov 15, 2022, 01:17 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-479.csv
478,Bill Number: H. R. 5441, On Motion to Suspend the Rules and Pass, as Amended,PAST Act,Nov 14, 2022, 07:13 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-478.csv
477,Bill Number: H. R. 8987, On Passage,Fairness for 9/11 Families Act,Sep 30, 2022, 01:19 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-477.csv
476,Bill Number: H. R. 6833, On Motion to Concur in the Senate Amendment,Affordable Insulin Now Act,Sep 30, 2022, 01:01 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-476.csv
475,Bill Number: H. Res. 1404, On Agreeing to the Resolution,Providing for consideration of the Senate amendment to the bill (H.R. 6833) Affordable Insulin Now Act and providing for consideration of the bill (H.R. 8987) Fairness for 9/11 Families Act,Sep 30, 2022, 11:10 AM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/117-2-475.csv
