Member,Vote,Party,State,ProfileAdams,Aye,Democratic,NC,/members/A000370
Aderholt,No,Republican,AL,/members/A000055
Aguilar,Aye,Democratic,CA,/members/A000371
Allen,No,Republican,GA,/members/A000372
Allred,Aye,Democratic,TX,/members/A000376
Amodei,No,Republican,NV,/members/A000369
Armstrong,No,Republican,ND,/members/A000377
Arrington,No,Republican,TX,/members/A000375
Auchincloss,Aye,Democratic,MA,/members/A000148
Axne,Aye,Democratic,IA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000378
Babin,No,Republican,TX,/members/B001291
Bacon,Aye,Republican,NE,/members/B001298
Baird,No,Republican,IN,/members/B001307
Balderson,No,Republican,OH,/members/B001306
Banks,No,Republican,IN,/members/B001299
Barr,No,Republican,KY,/members/B001282
Barragan,Aye,Democratic,CA,/members/B001300
Bass,Aye,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001270
Beatty,Aye,Democratic,OH,/members/B001281
Bentz,Aye,Republican,OR,/members/B000668
Bera,Aye,Democratic,CA,/members/B001287
Bergman,No,Republican,MI,/members/B001301
Beyer,Aye,Democratic,VA,/members/B001292
Bice (OK),No,Republican,OK,/members/B000740
Biggs,No,Republican,AZ,/members/B001302
Bilirakis,No,Republican,FL,/members/B001257
Bishop (GA),Aye,Democratic,GA,/members/B000490
Bishop (NC),No,Republican,NC,/members/B001311
Blumenauer,Aye,Democratic,OR,/members/B000574
Blunt Rochester,Aye,Democratic,DE,/members/B001303
Boebert,No,Republican,CO,/members/B000825
Bonamici,Aye,Democratic,OR,/members/B001278
Bost,No,Republican,IL,/members/B001295
Bourdeaux,Aye,Democratic,GA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001312
Bowman,Aye,Democratic,NY,/members/B001223
Boyle, Brendan F.,Aye,Democratic,PA,/members/B001296
Brady,Aye,Republican,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000755
Brooks,No,Republican,AL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001274
Brown (MD),Aye,Democratic,MD,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001304
Brown (OH),Aye,Democratic,OH,/members/B001313
Brownley,Aye,Democratic,CA,/members/B001285
Buchanan,Aye,Republican,FL,/members/B001260
Buck,No,Republican,CO,/members/B001297
Bucshon,No,Republican,IN,/members/B001275
Budd,No,Republican,NC,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001305
Burchett,No,Republican,TN,/members/B001309
Burgess,Not Voting,Republican,TX,/members/B001248
Bush,Aye,Democratic,MO,/members/B001224
Bustos,Aye,Democratic,IL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001286
Butterfield,Aye,Democratic,NC,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001251
Calvert,No,Republican,CA,/members/C000059
Cammack,No,Republican,FL,/members/C001039
Carbajal,Aye,Democratic,CA,/members/C001112
Cardenas,Aye,Democratic,CA,/members/C001097
Carey,No,Republican,OH,/members/C001126
Carl,Aye,Republican,AL,/members/C001054
Carson,Aye,Democratic,IN,/members/C001072
Carter (GA),No,Republican,GA,/members/C001103
Carter (LA),Aye,Democratic,LA,/members/C001125
Carter (TX),No,Republican,TX,/members/C001051
Cartwright,Aye,Democratic,PA,/members/C001090
Case,Aye,Democratic,HI,/members/C001055
Casten,Aye,Democratic,IL,/members/C001117
Castor (FL),Aye,Democratic,FL,/members/C001066
Castro (TX),Aye,Democratic,TX,/members/C001091
Cawthorn,No,Republican,NC,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001104
Chabot,No,Republican,OH,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000266
Cheney,No,Republican,WY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001109
Cherfilus-McCormick,Aye,Democratic,FL,/members/C001127
Chu,Aye,Democratic,CA,/members/C001080
Cicilline,Aye,Democratic,RI,/members/C001084
Clark (MA),Aye,Democratic,MA,/members/C001101
Clarke (NY),Aye,Democratic,NY,/members/C001067
Cleaver,Aye,Democratic,MO,/members/C001061
Cline,No,Republican,VA,/members/C001118
Cloud,No,Republican,TX,/members/C001115
Clyburn,Aye,Democratic,SC,/members/C000537
Clyde,No,Republican,GA,/members/C001116
Cohen,Aye,Democratic,TN,/members/C001068
Cole,Aye,Republican,OK,/members/C001053
Comer,Aye,Republican,KY,/members/C001108
Connolly,Aye,Democratic,VA,/members/C001078
Conway,Aye,Republican,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001128
Cooper,Aye,Democratic,TN,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000754
Correa,Aye,Democratic,CA,/members/C001110
Costa,Aye,Democratic,CA,/members/C001059
Courtney,Aye,Democratic,CT,/members/C001069
Craig,Aye,Democratic,MN,/members/C001119
Crawford,No,Republican,AR,/members/C001087
Crenshaw,Aye,Republican,TX,/members/C001120
Crist,Aye,Democratic,FL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001111
Crow,Aye,Democratic,CO,/members/C001121
Cuellar,Aye,Democratic,TX,/members/C001063
Curtis,Aye,Republican,UT,/members/C001114
Davids (KS),Aye,Democratic,KS,/members/D000629
Davidson,No,Republican,OH,/members/D000626
Davis, Danny K.,Aye,Democratic,IL,/members/D000096
Davis, Rodney,Aye,Republican,IL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000619
Dean,Aye,Democratic,PA,/members/D000631
DeFazio,Aye,Democratic,OR,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000191
DeGette,Aye,Democratic,CO,/members/D000197
DeLauro,Aye,Democratic,CT,/members/D000216
DelBene,Aye,Democratic,WA,/members/D000617
Demings,Aye,Democratic,FL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000627
DeSaulnier,Aye,Democratic,CA,/members/D000623
DesJarlais,No,Republican,TN,/members/D000616
Deutch,Aye,Democratic,FL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000610
Diaz-Balart,Aye,Republican,FL,/members/D000600
Dingell,Aye,Democratic,MI,/members/D000624
Doggett,Aye,Democratic,TX,/members/D000399
Donalds,Aye,Republican,FL,/members/D000032
Doyle, Michael F.,Aye,Democratic,PA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000482
Duncan,Not Voting,Republican,SC,/members/D000615
Dunn,Aye,Republican,FL,/members/D000628
Ellzey,No,Republican,TX,/members/E000071
Emmer,No,Republican,MN,/members/E000294
Escobar,Aye,Democratic,TX,/members/E000299
Eshoo,Aye,Democratic,CA,/members/E000215
Espaillat,Aye,Democratic,NY,/members/E000297
Estes,No,Republican,KS,/members/E000298
Evans,Aye,Democratic,PA,/members/E000296
Fallon,No,Republican,TX,/members/F000246
Feenstra,No,Republican,IA,/members/F000446
Ferguson,No,Republican,GA,/members/F000465
Fischbach,No,Republican,MN,/members/F000470
Fitzgerald,No,Republican,WI,/members/F000471
Fitzpatrick,Aye,Republican,PA,/members/F000466
Fleischmann,No,Republican,TN,/members/F000459
Fletcher,Aye,Democratic,TX,/members/F000468
Flood,No,Republican,NE,/members/F000474
Flores,Aye,Republican,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000473
Foster,Aye,Democratic,IL,/members/F000454
Foxx,No,Republican,NC,/members/F000450
Frankel, Lois,Aye,Democratic,FL,/members/F000462
Franklin, C. Scott,No,Republican,FL,/members/F000472
Fulcher,No,Republican,ID,/members/F000469
Gaetz,No,Republican,FL,/members/G000578
Gallagher,No,Republican,WI,/members/G000579
Gallego,Aye,Democratic,AZ,/members/G000574
Garamendi,Aye,Democratic,CA,/members/G000559
Garbarino,Aye,Republican,NY,/members/G000597
Garcia (CA),Aye,Republican,CA,/members/G000061
Garcia (IL),Aye,Democratic,IL,/members/G000586
Garcia (TX),Aye,Democratic,TX,/members/G000587
Gibbs,Aye,Republican,OH,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000563
Gimenez,Aye,Republican,FL,/members/G000593
Gohmert,No,Republican,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000552
Golden,Aye,Democratic,ME,/members/G000592
Gomez,Aye,Democratic,CA,/members/G000585
Gonzales, Tony,Aye,Republican,TX,/members/G000594
Gonzalez (OH),Not Voting,Republican,OH,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000588
Gonzalez, Vicente,Aye,Democratic,TX,/members/G000581
Gonzalez-Colon,Aye,Republican,PR,/members/G000582
Good (VA),Not Voting,Republican,VA,/members/G000595
Gooden (TX),No,Republican,TX,/members/G000589
Gosar,No,Republican,AZ,/members/G000565
Gottheimer,Aye,Democratic,NJ,/members/G000583
Granger,No,Republican,TX,/members/G000377
Graves (LA),Aye,Republican,LA,/members/G000577
Graves (MO),Aye,Republican,MO,/members/G000546
Green (TN),No,Republican,TN,/members/G000590
Green, Al (TX),Aye,Democratic,TX,/members/G000553
Greene (GA),Not Voting,Republican,GA,/members/G000596
Griffith,Aye,Republican,VA,/members/G000568
Grijalva,Aye,Democratic,AZ,/members/G000551
Grothman,No,Republican,WI,/members/G000576
Guest,Aye,Republican,MS,/members/G000591
Guthrie,Aye,Republican,KY,/members/G000558
